Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
94.8,20213570961,4770,4237645.9,1170842.0,256,34967442,7294122.2,[CUDA memcpy Host-to-Device]
5.2,1103006371,954,1156191.2,1155610.0,778834,1752936,23480.8,[CUDA memcpy Device-to-Host]
