Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.4,1587480537,954,1664025.7,1663940.0,1116442,1678052,18280.4,gf_tensor_csr_sum
0.6,9357817,954,9809.0,9824.0,6945,11392,476.8,gf_tensor_pointwise
