Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
94.8,201746350,50,4034927.0,1170453.0,288,18751860,7102418.5,[CUDA memcpy Host-to-Device]
5.2,11026099,10,1102609.9,1155862.0,619683,1159141,169686.4,[CUDA memcpy Device-to-Host]
