Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
1445.000,50,28.900,8.389,0.000,134.218,50.884,[CUDA memcpy Host-to-Device]
80.000,10,8.000,8.389,4.503,8.389,1.229,[CUDA memcpy Device-to-Host]
